NTRDBT,JOINT,ORGD1FPRSE,PRFILE,SUCCESS,DISTSUCCESS,FEEP,FEEI,FEEW,REALPROPNULL,REALPROPNONE,REALPROPVALUE,REALPROPVALUESQR,REALPROPVALUELOG,PERSPROPNULL,PERSPROPVALUE,PERSPROPVALUESQR,PERSPROPVALUELOG,UNSECNPRNULL,UNSECNPRVALUE,UNSECNPRVALUESQR,UNSECNPRVALUELOG,UNSECEXCESS,UNSECPRNULL,UNSECPRVALUE,UNSECPRVALUESQR,UNSECPRVALUELOG,AVGMNTHINULL,AVGMNTHIVALUE,AVGMNTHIVALUESQR,AVGMNTHIVALUELOG,IEINDEX,IEGAP
0,1,0,0,0,0.4239,0,0,0,0,0,283425,80329730625,12.5547,0,11547.72,133349837.2,9.3542,0,72159.96,5207059827,11.1866,0,0,105.01,11027.1001,4.6541,0,5761.37,33193384.28,8.6589,0.9277,-449.16
0,0,0,0,1,0.3822,0,0,0,0,0,268000,71824000000,12.4987,0,14225,202350625,9.5628,0,67758,4591146564,11.1237,0,0,0,0,0,0,4604.28,21199394.32,8.4347,1.1095,454.28
0,0,0,1,0,0.4523,0,1,0,0,0,219150,48026722500,12.2975,0,11230,126112900,9.3263,0,628.75,395326.5625,6.4437,0,0,0,0,0,0,5399.37,29153196.4,8.594,1.1634,758.16
0,0,0,0,0,0.6186,0,1,0,0,0,90000,8100000000,11.4076,0,1790,3204100,7.49,0,0,0,0,0,0,0,0,0,0,2582.55,6669564.503,7.8565,1.1714,377.88
0,0,0,1,0,0.3822,0,0,0,0,0,447000,1.99809E+11,13.0103,0,22384,501043456,10.0161,0,33985.94,1155044118,10.4337,0,0,0,0,0,0,5883.14,34611336.26,8.6798,1.2726,1260.14
0,1,0,1,1,0.6231,0,0,0,0,0,67000,4489000000,11.1124,0,190945,36459993025,12.1597,0,8663,75047569,9.0668,0,0,0,0,0,0,3591.15,12896358.32,8.1862,1.1101,356.15
0,1,0,0,1,0.5371,0,0,0,0,0,95001,9025190001,11.4616,0,24055,578643025,10.0881,0,51066.25,2607761889,10.8409,0,0,0,0,0,0,3346,11195716,8.1155,1.0636,200
0,0,0,0,0,0.499,0,0,0,0,1,0,0,0,0,17428.5,303752612.3,9.7659,0,51601.65,2662730283,10.8513,0,0,0,0,0,0,2826.36,7988310.85,7.9467,1.6635,1127.36
0,0,0,0,1,0.469,0,0,0,0,0,139000,19321000000,11.8422,0,16600.12,275563984,9.7172,0,11605.35,134684148.6,9.3592,0,0,0,0,0,0,4108,16875664,8.3207,1.8041,1831
0,0,0,1,0,0.3096,0,0,0,0,0,120000,14400000000,11.6952,0,6252,39087504,8.7407,0,132938.87,17672743157,11.7976,0,0,3191,10182481,8.0681,0,2057.67,4234005.829,7.6293,1.1726,302.86
0,0,0,0,0,0.5742,0,0,0,0,0,288500,83232250000,12.5725,0,4950,24502500,8.5071,0,42000.92,1764077281,10.6454,0,0,0,0,0,0,3245.52,10533400.07,8.085,1.1406,400
0,0,1,1,0,0.1943,0,1,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,0,0,0,0,0.5296,0,0,0,0,0,134800,18171040000,11.8115,0,12275,150675625,9.4153,0,49426.55,2442983845,10.8082,0,0,1700,2890000,7.4384,0,4877.66,23791567.08,8.4924,1.9542,2381.66
0,1,0,1,0,0.5887,0,0,0,0,0,75000,5625000000,11.2252,0,5927.86,35139524.18,8.6874,0,9622.64,92595200.57,9.1719,0,0,1315,1729225,7.1816,0,2697.4,7275966.76,7.9,2.1631,1450.4
0,1,0,0,1,0.6827,0,0,0,0,0,199962,39984801444,12.2059,0,26769,716579361,10.195,0,95770,9171892900,11.4697,0,0,7375.2,54393575.04,8.9059,0,4928.63,24291393.68,8.5028,1.044,207.75
0,0,0,0,0,0.4739,0,0,0,0,1,0,0,0,0,2920,8526400,7.9793,0,4824,23270976,8.4814,0,0,6900,47610000,8.8393,0,1157.09,1338857.268,7.0537,1.4248,345
0,0,0,1,0,0.5792,0,0,0,0,1,0,0,0,0,48975,2398550625,10.7991,0,119914.95,14379595234,11.6945,0,0,800,640000,6.6846,0,3989.7,15917706.09,8.2915,1.0578,217.83
0,1,0,0,1,0.6239,0,0,0,0,0,48000,2304000000,10.779,0,13635,185913225,9.5204,0,18046.54,325677606,9.8007,0,0,0,0,0,0,1328,1763584,7.1914,1.2296,248
0,0,0,0,0,0.331,0,1,0,0,1,0,0,0,0,13400,179560000,9.503,0,2299,5285401,7.7402,0,0,1800,3240000,7.4955,0,1306,1705636,7.1747,2.612,806
0,1,0,1,0,0.4709,0,1,0,0,0,55000,3025000000,10.9151,0,3931,15452761,8.2766,0,17803.76,316973870.1,9.7872,0,0,0,0,0,0,3090,9548100,8.0359,1.39,867
