SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,CRNTCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT
9/30/2012,0,0,1,BK04222087047700,4,22,2,870477,0,0,,2/15/2008,2/15/2008,2008,2008,13,13,c,c,y,234200000,51001,n,n,2/15/2008,234200000,51001,n,n,2/15/2008,p,p,v,i,i,,n,A,A,B,B,B,B,y,y,,,27289,0,27289,86770,10607,1350,74813,85420,1350,86770,5103.45,3905,3205,,,,,3.4.0,1/10/2012,2012,2012,13,n,A,4/1/2011,2011,2011,n,A,4/1/2011,2011,2011,,,4.2.0,N
9/30/2014,0,0,1,BK07564099303800,7,56,4,993038,0,0,,8/27/2009,8/27/2009,2009,2009,13,7,c,c,n,471190000,18043,n,n,,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,n,,,191006,180000,11006,194807.36,156574.92,0,38232.44,194807.36,0,194807.36,3488.3,2820,2393.25,,,,,5.1.0,3/12/2014,2014,2014,7,n,A,3/12/2014,2014,2014,,,,,,,,5.1.0,N
9/30/2010,0,1,0,BK03121093374900,3,12,1,933749,0,0,,9/9/2009,9/9/2009,2009,2009,13,13,c,c,n,80941156,34015,n,n,,,,,,,p,p,v,i,i,,n,A,A,A,A,A,A,y,y,,,2050,0,2050,15752.68,0,0,15752.68,15752.68,0,15752.68,1185,1185,1129.2,,,,,3.3.2,,,,,,,,,,,,,,,,,,N
9/30/2008,1,1,0,BK04186085119100,4,18,6,851191,0,0,,,7/22/2008,2008,2008,13,13,c,c,y,272849447,37067,n,n,7/22/2008,272849447,37067,n,n,7/22/2008,p,p,v,i,i,,y,C,C,C,C,A,A,y,y,,,140075,131400,8675,182074.44,127042,3192.18,51840.26,178882.26,3192.18,182074.44,790.49,3865.52,3736.01,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK08654094293100,8,65,4,942931,0,0,,4/2/2009,4/2/2009,2009,2009,13,13,c,c,y,630440000,29189,n,n,,630440000,29189,n,n,,p,p,v,i,i,,n,C,C,D,D,B,B,y,y,,,333970,285000,48970,686798.04,302957.35,365.09,383475.6,686432.95,365.09,686798.04,3860.99,3551.65,3131,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2012,0,1,0,BK06491081675700,6,49,1,816757,0,0,,12/9/2008,12/9/2008,2008,2009,13,13,c,c,y,374120000,47065,n,n,12/9/2008,374120000,47065,n,n,12/9/2008,i,c,v,i,i,,n,B,B,C,C,A,A,y,y,,,95425,82100,13325,109482.57,104403,0,5079.57,109482.57,0,109482.57,4605,3120,1636,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2009,0,1,0,BK06482085203000,6,48,2,852030,0,0,,,3/9/2008,2008,2008,13,13,c,c,y,430560000,39089,n,n,3/9/2008,430560000,39089,n,n,3/9/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,141380.44,108000,33380.44,235872.18,133755.02,0,102117.16,235872.18,0,235872.18,4683.08,4338.55,3419.5,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,0,1,BK07521081435800,7,52,1,814358,0,0,,6/4/2008,6/4/2008,2008,2008,13,13,c,c,y,601010000,17043,n,n,6/4/2008,601010000,17043,n,n,6/4/2008,p,p,v,i,i,,y,C,C,C,C,A,A,y,y,,,186450,150000,36450,191390,154355,0,37035,191390,0,191390,4012.97,4625,4223.27,,,,,3.3.3,12/27/2010,2010,2011,13,n,T,9/17/2010,2010,2010,n,T,9/17/2010,2010,2010,,,3.3.3,N
9/30/2009,0,0,1,BK05381085055500,5,38,1,850555,0,0,,,3/20/2008,2008,2008,13,7,c,c,n,393670000,28153,n,n,3/20/2008,,,,,,p,p,v,i,i,,y,A,A,A,A,A,A,y,n,,,6000,0,6000,22734.84,17872.27,670.7,4191.87,22064.14,670.7,22734.84,831.59,2233.62,1937,,,,,0.0.0,5/4/2009,2009,2009,7,n,O,5/4/2009,2009,2009,,,,,,,,3.3.1,N
9/30/2009,0,1,0,BK07523087304100,7,52,3,873041,0,0,,,9/19/2008,2008,2008,13,13,c,c,y,600210000,17111,n,n,9/19/2008,600210000,17111,n,n,9/19/2008,p,p,v,i,i,,n,B,B,C,C,A,A,y,y,,,416558,329999,86559,470384,347384,0,123000,470384,0,470384,10369.13,6697,4946.47,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
